,seq_len,image_path,pose
455,7,"['/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/002283.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/002284.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/002285.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/002286.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/002287.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/002288.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/002289.png']","[[-1.03550629e+00 -2.39060057e-02  1.19724444e-03  1.88611600e+02
  -1.35328100e+01  2.06419500e+02  5.10114800e-01  1.99493700e-02
  -8.59875000e-01  1.19690200e-03  9.99713500e-01  2.39037300e-02
   8.60105400e-01 -1.32228300e-02  5.09944800e-01]
 [-1.04029786e+00 -2.40616415e-02  2.44391998e-03  1.87943500e+02
  -1.35205500e+01  2.06803100e+02  5.06012700e-01  1.95158900e-02
  -8.62305300e-01  2.44321000e-03  9.99707500e-01  2.40593200e-02
   8.62522600e-01 -1.42811100e-02  5.05816900e-01]
 [-1.04508960e+00 -2.42169464e-02  3.69168911e-03  1.87275300e+02
  -1.35082800e+01  2.07186700e+02  5.01898400e-01  1.90921500e-02
  -8.64715900e-01  3.69059800e-03  9.99699900e-01  2.42145800e-02
   8.64918700e-01 -1.53445700e-02  5.01677300e-01]
 [-1.04987509e+00 -2.43716822e-02  4.93889596e-03  1.86608000e+02
  -1.34960300e+01  2.07569800e+02  4.97777800e-01  1.86787200e-02
  -8.67103500e-01  4.93740900e-03  9.99690800e-01  2.43692700e-02
   8.67290500e-01 -1.64117200e-02  4.97531600e-01]
 [-1.05466698e+00 -2.45262674e-02  6.18878080e-03  1.85939900e+02
  -1.34837600e+01  2.07953400e+02  4.93640000e-01  1.82745800e-02
  -8.69474400e-01  6.18688000e-03  9.99680100e-01  2.45238100e-02
   8.69644300e-01 -1.74852600e-02  4.93369000e-01]
 [-1.05945285e+00 -2.46803048e-02  7.43814082e-03  1.85272600e+02
  -1.34715000e+01  2.08336500e+02  4.89495900e-01  1.78807900e-02
  -8.71822300e-01  7.43580700e-03  9.99667800e-01  2.46778000e-02
   8.71973900e-01 -1.85623800e-02  4.89200300e-01]
 [-1.06424439e+00 -2.48341512e-02  8.69002494e-03  1.84604500e+02
  -1.34592300e+01  2.08720100e+02  4.85335500e-01  1.74964400e-02
  -8.74153000e-01  8.68723600e-03  9.99653900e-01  2.48316000e-02
   8.74284800e-01 -1.96456200e-02  4.85015500e-01]]"
263,7,"['/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/001326.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/001327.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/001328.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/001329.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/001330.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/001331.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/001332.png']","[[ 1.51146623e+00  1.69714435e-02  4.05974576e-02 -5.93117500e+01
  -3.93965900e+00  2.39952600e+02  5.99340100e-02  1.45202300e-02
   9.98096800e-01  4.05804600e-02  9.99032100e-01 -1.69706300e-02
  -9.97377100e-01  4.15203300e-02  5.92867600e-02]
 [ 1.50970192e+00  1.18564273e-02  4.65575183e-02 -5.84305000e+01
  -3.98064100e+00  2.40005900e+02  6.15410200e-02  8.97959300e-03
   9.98064200e-01  4.65374300e-02  9.98846200e-01 -1.18561500e-02
  -9.97019000e-01  4.71769700e-02  6.10521200e-02]
 [ 1.50745262e+00  1.51695008e-02  4.72740964e-02 -5.75611300e+01
  -4.02015400e+00  2.40056500e+02  6.39460400e-02  1.21301800e-02
   9.97879700e-01  4.72510500e-02  9.98767800e-01 -1.51689200e-02
  -9.96834100e-01  4.81208400e-02  6.32940800e-02]
 [ 1.50732055e+00  2.60795968e-02  4.43445176e-02 -5.67019500e+01
  -4.06062700e+00  2.40109100e+02  6.45244500e-02  2.31865400e-02
   9.97646700e-01  4.43149100e-02  9.98677200e-01 -2.60766400e-02
  -9.96931600e-01  4.58931900e-02  6.34115900e-02]
 [ 1.50647166e+00  3.46654903e-02  4.46369020e-02 -5.58539800e+01
  -4.10158300e+00  2.40160000e+02  6.57596300e-02  3.16840900e-02
   9.97332400e-01  4.45952700e-02  9.98403700e-01 -3.46585500e-02
  -9.96838400e-01  4.67554300e-02  6.42417000e-02]
 [ 1.50561775e+00  3.53853726e-02  4.77418686e-02 -5.50029200e+01
  -4.14315400e+00  2.40208900e+02  6.67430200e-02  3.21542700e-02
   9.97252000e-01  4.76938600e-02  9.98235300e-01 -3.53779900e-02
  -9.96629600e-01  4.99240200e-02  6.50916700e-02]
 [ 1.50578021e+00  2.91110714e-02  5.02690794e-02 -5.41511300e+01
  -4.17278200e+00  2.40267600e+02  6.63477200e-02  2.57441400e-02
   9.97464400e-01  5.02266200e-02  9.98313600e-01 -2.91069600e-02
  -9.96531600e-01  5.20304400e-02  6.49427900e-02]]"
276,7,"['/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/001391.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/001392.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/001393.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/001394.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/001395.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/001396.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/001397.png']","[[ 1.78563679e+00  4.51567115e-03  6.21672333e-02 -2.10326000e+01
  -5.29901600e+00  2.41835100e+02 -2.12505600e-01  1.76483100e-02
   9.77000500e-01  6.21265600e-02  9.98058000e-01 -4.51565600e-03
  -9.75182800e-01  5.97380600e-02 -2.13189400e-01]
 [ 1.80060732e+00  3.24161452e-03  6.38297511e-02 -2.08749500e+01
  -5.30172400e+00  2.41791000e+02 -2.27128300e-01  1.76800800e-02
   9.73704400e-01  6.37860800e-02  9.97958300e-01 -3.24160900e-03
  -9.71773600e-01  6.13725100e-02 -2.27792300e-01]
 [ 1.81496298e+00  3.50893302e-03  6.36756258e-02 -2.07192700e+01
  -5.30205000e+00  2.41743400e+02 -2.41041200e-01  1.87809800e-02
   9.70333200e-01  6.36322100e-02  9.97967200e-01 -3.50892600e-03
  -9.68426600e-01  6.08986400e-02 -2.41746300e-01]
 [ 1.83042370e+00  4.07684919e-03  6.30572771e-02 -2.05641600e+01
  -5.30230700e+00  2.41692800e+02 -2.55961900e-01  2.01097300e-02
   9.66477700e-01  6.30149700e-02  9.98004200e-01 -4.07683800e-03
  -9.64630800e-01  5.98590300e-02 -2.56718300e-01]
 [ 1.84652665e+00  4.66862465e-03  6.19927641e-02 -2.04100900e+01
  -5.30200500e+00  2.41641000e+02 -2.71448500e-01  2.13503300e-02
   9.62216200e-01  6.19523900e-02  9.98068200e-01 -4.66860800e-03
  -9.60456900e-01  5.83442900e-02 -2.72246800e-01]
 [ 1.86266765e+00  5.40272436e-03  6.07590072e-02 -2.02573700e+01
  -5.29909200e+00  2.41586100e+02 -2.86899700e-01  2.26369900e-02
   9.57693100e-01  6.07207400e-02  9.98140100e-01 -5.40269800e-03
  -9.56034200e-01  5.66017900e-02 -2.87740700e-01]
 [ 1.88059082e+00  8.26625117e-03  5.89976465e-02 -2.01037500e+01
  -5.29193500e+00  2.41524500e+02 -3.03868300e-01  2.58347100e-02
   9.52363700e-01  5.89614100e-02  9.98226000e-01 -8.26615700e-03
  -9.50887800e-01  5.36408700e-02 -3.04852500e-01]]"
275,7,"['/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/001385.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/001386.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/001387.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/001388.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/001389.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/001390.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/001391.png']","[[ 1.70352134e+00  2.41359927e-03  5.04353663e-02 -2.20347100e+01
  -5.24831300e+00  2.42112400e+02 -1.32046800e-01  9.06089000e-03
   9.91202100e-01  5.04138400e-02  9.98725500e-01 -2.41359700e-03
  -9.89960600e-01  4.96515800e-02 -1.32335300e-01]
 [ 1.71688101e+00  1.40933948e-03  5.01808780e-02 -2.18432300e+01
  -5.25976600e+00  2.42069500e+02 -1.45312500e-01  8.69411300e-03
   9.89347600e-01  5.01597700e-02  9.98740200e-01 -1.40933900e-03
  -9.88113500e-01  4.94206400e-02 -1.45565500e-01]
 [ 1.73019350e+00  2.64778205e-03  5.15989579e-02 -2.16752300e+01
  -5.26540200e+00  2.42026900e+02 -1.58377000e-01  1.07970400e-02
   9.87319700e-01  5.15758800e-02  9.98665500e-01 -2.64777900e-03
  -9.86030700e-01  5.05025200e-02 -1.58722500e-01]
 [ 1.74433818e+00  5.87676958e-03  5.26004542e-02 -2.15161800e+01
  -5.26784100e+00  2.41984700e+02 -1.72129000e-01  1.48589000e-02
   9.84962400e-01  5.25752900e-02  9.98599600e-01 -5.87673600e-03
  -9.83670400e-01  5.07731100e-02 -1.72669100e-01]
 [ 1.75765223e+00  8.40260873e-03  5.48672518e-02 -2.13572700e+01
  -5.27407000e+00  2.41937100e+02 -1.85038200e-01  1.84314200e-02
   9.82558500e-01  5.48377900e-02  9.98459900e-01 -8.40251000e-03
  -9.81200100e-01  5.23265300e-02 -1.85763900e-01]
 [ 1.77094051e+00  7.25972375e-03  5.90488451e-02 -2.11939700e+01
  -5.29118200e+00  2.41888200e+02 -1.98044300e-01  1.88350500e-02
   9.80012100e-01  5.90129800e-02  9.98230800e-01 -7.25966000e-03
  -9.78415000e-01  5.63956800e-02 -1.98805400e-01]
 [ 1.78563679e+00  4.51567115e-03  6.21672333e-02 -2.10326000e+01
  -5.29901600e+00  2.41835100e+02 -2.12505600e-01  1.76483100e-02
   9.77000500e-01  6.21265600e-02  9.98058000e-01 -4.51565600e-03
  -9.75182800e-01  5.97380600e-02 -2.13189400e-01]]"
272,7,"['/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/001369.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/001370.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/001371.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/001372.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/001373.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/001374.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/001375.png']","[[ 1.53377018e+00  1.82504429e-02  3.08627190e-02 -2.76821200e+01
  -5.02589100e+00  2.42432000e+02  3.75628100e-02  1.70859500e-02
   9.99148200e-01  3.08526800e-02  9.99357300e-01 -1.82494300e-02
  -9.98817800e-01  3.15118900e-02  3.70115200e-02]
 [ 1.54147943e+00  1.86215060e-02  3.06815741e-02 -2.72063400e+01
  -5.04151900e+00  2.42453700e+02  2.98698700e-02  1.77044500e-02
   9.99397000e-01  3.06714400e-02  9.99356000e-01 -1.86204300e-02
  -9.99083100e-01  3.12091200e-02  2.93076200e-02]
 [ 1.54973635e+00  1.80405778e-02  3.23452421e-02 -2.67471700e+01
  -5.05316800e+00  2.42468900e+02  2.16306700e-02  1.73451300e-02
   9.99615600e-01  3.23343400e-02  9.99314300e-01 -1.80396000e-02
  -9.99243000e-01  3.27121100e-02  2.10549900e-02]
 [ 1.55851840e+00  1.71008422e-02  3.35949705e-02 -2.63009600e+01
  -5.05396800e+00  2.42479200e+02  1.28450100e-02  1.66766800e-02
   9.99778500e-01  3.35837400e-02  9.99289600e-01 -1.71000100e-02
  -9.99353300e-01  3.37959300e-02  1.22758200e-02]
 [ 1.56791277e+00  1.67677552e-02  3.47217388e-02 -2.58721100e+01
  -5.06017000e+00  2.42479300e+02  3.46387600e-03  1.66566900e-02
   9.99855300e-01  3.47098800e-02  9.99256700e-01 -1.67669700e-02
  -9.99391400e-01  3.47629300e-02  2.88315100e-03]
 [ 1.57735445e+00  1.70099691e-02  3.51201280e-02 -2.54602600e+01
  -5.07017700e+00  2.42473300e+02 -5.95681100e-03  1.72285600e-02
   9.99833900e-01  3.51078300e-02  9.99238800e-01 -1.70091500e-02
  -9.99365700e-01  3.50006700e-02 -6.55713200e-03]
 [ 1.58681603e+00  1.62666374e-02  3.59419336e-02 -2.50640200e+01
  -5.07954000e+00  2.42465800e+02 -1.54242400e-02  1.68289600e-02
   9.99739400e-01  3.59294400e-02  9.99221900e-01 -1.62659200e-02
  -9.99235200e-01  3.56691800e-02 -1.60169000e-02]]"
650,7,"['/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/003246.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/003247.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/003248.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/003249.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/003250.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/003251.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/003252.png']","[[ 3.08015188e+00 -3.89734584e-02  5.10544001e-02  1.49012000e+02
  -1.33348300e+01  2.44059600e+02 -9.96934700e-01  4.85465900e-02
   6.13554900e-02  5.09934700e-02  9.97938600e-01  3.89635900e-02
  -5.93374600e-02  4.19728800e-02 -9.97355100e-01]
 [ 3.07924900e+00 -4.03520803e-02  4.75724043e-02  1.49071400e+02
  -1.33272900e+01  2.43207100e+02 -9.97047700e-01  4.49515300e-02
   6.22525600e-02  4.75157500e-02  9.98055500e-01  4.03411300e-02
  -6.03181100e-02  4.31800000e-02 -9.97244800e-01]
 [ 3.07796665e+00 -3.96180350e-02  4.83626848e-02  1.49120900e+02
  -1.33195700e+01  2.42376200e+02 -9.96931500e-01  4.57305700e-02
   6.35331900e-02  4.83059000e-02  9.98047000e-01  3.96076700e-02
  -6.15978200e-02  4.25551500e-02 -9.97193400e-01]
 [ 3.07629275e+00 -4.13818113e-02  4.43793688e-02  1.49177500e+02
  -1.33118400e+01  2.41565300e+02 -9.97006000e-01  4.15733600e-02
   6.51976400e-02  4.43268200e-02  9.98160100e-01  4.13700000e-02
  -6.33577900e-02  4.41361400e-02 -9.97014400e-01]
 [ 3.07486940e+00 -4.62753086e-02  3.69598604e-02  1.49239900e+02
  -1.33044700e+01  2.40772900e+02 -9.97207400e-01  3.37870700e-02
   6.66023700e-02  3.69118900e-02  9.98247300e-01  4.62587900e-02
  -6.49226800e-02  4.85880100e-02 -9.96706600e-01]
 [ 3.07247122e+00 -5.42384510e-02  3.40217945e-02  1.49300100e+02
  -1.32909400e+01  2.39994300e+02 -9.97162200e-01  3.01919400e-02
   6.89648400e-02  3.39652100e-02  9.97951600e-01  5.42118600e-02
  -6.71868100e-02  5.64004100e-02 -9.96145000e-01]
 [ 3.06957115e+00 -5.83216802e-02  3.44773878e-02  1.49354100e+02
  -1.32878400e+01  2.39240800e+02 -9.96959500e-01  3.01892700e-02
   7.18369100e-02  3.44119500e-02  9.97706500e-01  5.82886200e-02
  -6.99124500e-02  6.05834300e-02 -9.95711700e-01]]"
653,7,"['/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/003260.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/003261.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/003262.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/003263.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/003264.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/003265.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/003266.png']","[[ 3.06261306e+00 -6.16907781e-02  2.12791730e-02  1.49788500e+02
  -1.32038800e+01  2.34085500e+02 -9.96760600e-01  1.63481600e-02
   7.87474200e-02  2.12370900e-02  9.97871700e-01  6.16516500e-02
  -7.75719300e-02  6.31242900e-02 -9.94986300e-01]
 [ 3.06914918e+00 -6.08658555e-02  1.84790389e-02  1.49831600e+02
  -1.31903200e+01  2.33536700e+02 -9.97288200e-01  1.40275000e-02
   7.22460900e-02  1.84437700e-02  9.97977800e-01  6.08282800e-02
  -7.12467200e-02  6.19958100e-02 -9.95530200e-01]
 [ 3.07709058e+00 -5.77260471e-02  1.66739155e-02  1.49863300e+02
  -1.31735900e+01  2.33007600e+02 -9.97843800e-01  1.29201700e-02
   6.43499900e-02  1.66453700e-02  9.98195500e-01  5.76939900e-02
  -6.34884500e-02  5.86407100e-02 -9.96258200e-01]
 [ 3.08764228e+00 -5.46732790e-02  1.29237200e-02  1.49888300e+02
  -1.31608500e+01  2.32499000e+02 -9.98499800e-01  9.95804700e-03
   5.38436300e-02  1.29040500e-02  9.98422400e-01  5.46460400e-02
  -5.32145100e-02  5.52588500e-02 -9.97052900e-01]
 [ 3.10307389e+00 -5.42344438e-02  8.99885492e-03  1.49906300e+02
  -1.31492300e+01  2.32004900e+02 -9.99236600e-01  6.90463000e-03
   3.84526200e-02  8.98550200e-03  9.98489200e-01  5.42078600e-02
  -3.80202400e-02  5.45119800e-02 -9.97789000e-01]
 [ 3.12227245e+00 -5.54146599e-02  6.63425736e-03  1.49905500e+02
  -1.31352500e+01  2.31522500e+02 -9.99798500e-01  5.56297600e-03
   1.92893500e-02  6.62402500e-03  9.98443000e-01  5.53863000e-02
  -1.89512000e-02  5.55029100e-02 -9.98278600e-01]
 [-3.13710032e+00 -5.70546023e-02  9.81985908e-03  1.49886700e+02
  -1.31187500e+01  2.31066100e+02 -9.99939200e-01  1.00757500e-02
  -4.48501100e-03  9.80372300e-03  9.98324700e-01  5.70236500e-02
   5.05205300e-03  5.69762000e-02 -9.98362700e-01]]"
654,7,"['/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/003266.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/003267.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/003268.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/003269.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/003270.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/003271.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/003272.png']","[[-3.13710032e+00 -5.70546023e-02  9.81985908e-03  1.49886700e+02
  -1.31187500e+01  2.31066100e+02 -9.99939200e-01  1.00757500e-02
  -4.48501100e-03  9.80372300e-03  9.98324700e-01  5.70236500e-02
   5.05205300e-03  5.69762000e-02 -9.98362700e-01]
 [-3.11001144e+00 -5.70324664e-02  1.56095435e-02  1.49838700e+02
  -1.31023600e+01  2.30619900e+02 -9.99351500e-01  1.74007700e-02
  -3.15246200e-02  1.55835300e-02  9.98252400e-01  5.70015500e-02
   3.24613900e-02  5.64733100e-02 -9.97876200e-01]
 [-3.07767164e+00 -5.53465648e-02  1.61361471e-02  1.49789400e+02
  -1.30907000e+01  2.30194100e+02 -9.97770900e-01  1.96356100e-02
  -6.37796800e-02  1.61107400e-02  9.98338800e-01  5.53183100e-02
   6.47599300e-02  5.41674500e-02 -9.96429600e-01]
 [-3.04028083e+00 -5.51718194e-02  1.45780075e-02  1.49728600e+02
  -1.30800700e+01  2.29773800e+02 -9.94685400e-01  2.00793100e-02
  -1.00984700e-01  1.45553100e-02  9.98372300e-01  5.51438300e-02
   1.01927500e-01  5.33808900e-02 -9.93358500e-01]
 [-3.00153414e+00 -5.59889476e-02  1.40692597e-02  1.49635100e+02
  -1.30675500e+01  2.29344100e+02 -9.90000000e-01  2.17422700e-02
  -1.39382300e-01  1.40467500e-02  9.98334200e-01  5.59597000e-02
   1.40366800e-01  5.34422200e-02 -9.88656200e-01]
 [-2.96153354e+00 -5.64163551e-02  1.89012348e-02  1.49526900e+02
  -1.30510700e+01  2.28940600e+02 -9.83466600e-01  2.86908500e-02
  -1.78802800e-01  1.88700400e-02  9.98230700e-01  5.63864300e-02
   1.80104200e-01  5.20801500e-02 -9.82267800e-01]
 [-2.92041270e+00 -5.50701624e-02  2.47649519e-02  1.49399000e+02
  -1.30317900e+01  2.28552100e+02 -9.75041100e-01  3.62307200e-02
  -2.19048400e-01  2.47248800e-02  9.98177800e-01  5.50423300e-02
   2.20643500e-01  4.82525800e-02 -9.74160200e-01]]"
267,7,"['/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/001346.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/001347.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/001348.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/001349.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/001350.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/001351.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/001352.png']","[[ 1.49561077e+00  2.09376183e-02  5.53888003e-02 -4.26545400e+01
  -4.71494400e+00  2.41018700e+02  7.61553100e-02  1.66865300e-02
   9.96956400e-01  5.53483500e-02  9.98247600e-01 -2.09360900e-02
  -9.95558600e-01  5.67742700e-02  7.50982800e-02]
 [ 1.49437364e+00  2.03591958e-02  5.56382399e-02 -4.18789600e+01
  -4.72835200e+00  2.41088900e+02  7.73589700e-02  1.60212600e-02
   9.96874600e-01  5.55980100e-02  9.98245600e-01 -2.03577900e-02
  -9.95451800e-01  5.69990900e-02  7.63325000e-02]
 [ 1.49298230e+00  2.04453733e-02  5.54348578e-02 -4.11185700e+01
  -4.73733700e+00  2.41162000e+02  7.87454200e-02  1.60437200e-02
   9.96765700e-01  5.53948900e-02  9.98255200e-01 -2.04439500e-02
  -9.95354400e-01  5.68255800e-02  7.77192800e-02]
 [ 1.49195718e+00  2.03722779e-02  5.31737027e-02 -4.03747600e+01
  -4.75143200e+00  2.41236000e+02  7.97255200e-02  1.60930300e-02
   9.96687000e-01  5.31376200e-02  9.98379400e-01 -2.03708700e-02
  -9.95399500e-01  5.45856400e-02  7.87411600e-02]
 [ 1.49099064e+00  2.00670772e-02  5.01465686e-02 -3.96490200e+01
  -4.76996300e+00  2.41312800e+02  8.06234000e-02  1.59806500e-02
   9.96616500e-01  5.01154600e-02  9.98541800e-01 -2.00657300e-02
  -9.95483900e-01  5.15636500e-02  7.97049500e-02]
 [ 1.48987020e+00  2.08234744e-02  4.72768253e-02 -3.89398500e+01
  -4.79317600e+00  2.41384600e+02  8.17283200e-02  1.69103000e-02
   9.96511200e-01  4.72489700e-02  9.98666100e-01 -2.08219700e-02
  -9.95534000e-01  4.87858600e-02  8.08203000e-02]
 [ 1.48895932e+00  2.17277190e-02  4.37874122e-02 -3.82441200e+01
  -4.80164600e+00  2.41461500e+02  8.26151800e-02  1.80542500e-02
   9.96418000e-01  4.37630900e-02  9.98805700e-01 -2.17260100e-02
  -9.95620100e-01  4.54012200e-02  8.17264000e-02]]"
659,7,"['/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/003289.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/003290.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/003291.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/003292.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/003293.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/003294.png', '/home/mononoke/GitUploads/depth_and_yolov5/final_results/2channel_PIL/00/003295.png']","[[-2.03389121e+00 -6.02274734e-02 -7.39486997e-03  1.44068000e+02
  -1.25968700e+01  2.23310600e+02 -4.47105200e-01  5.05465100e-02
  -8.93052100e-01 -7.38139500e-03  9.98159600e-01  6.01910700e-02
   8.94450900e-01  3.35037100e-02 -4.45909200e-01]
 [-1.98508688e+00 -6.08571193e-02 -7.95816774e-03  1.43556900e+02
  -1.25613000e+01  2.23139100e+02 -4.02971000e-01  5.24691300e-02
  -9.13707500e-01 -7.94335100e-03  9.98117100e-01  6.08195600e-02
   9.15178200e-01  3.17664200e-02 -4.01795400e-01]
 [-1.93778819e+00 -6.14766875e-02 -7.15354410e-03  1.43010800e+02
  -1.25274200e+01  2.22963900e+02 -3.59210300e-01  5.47786500e-02
  -9.31647600e-01 -7.13996900e-03  9.98085300e-01  6.14379700e-02
   9.33229300e-01  2.87210900e-02 -3.58131400e-01]
 [-1.89233496e+00 -6.32999913e-02 -9.99702252e-03  1.42464100e+02
  -1.24993900e+01  2.22821900e+02 -3.16611000e-01  5.68535000e-02
  -9.46850200e-01 -9.97683400e-03  9.97947300e-01  6.32577300e-02
   9.48503000e-01  2.94746600e-02 -3.15393800e-01]
 [-1.85131285e+00 -6.12714606e-02 -1.55366790e-02  1.41904100e+02
  -1.24740400e+01  2.22690300e+02 -2.77732800e-01  5.45313800e-02
  -9.59109400e-01 -1.55069000e-02  9.98003000e-01  6.12331300e-02
   9.60533200e-01  3.18792600e-02 -2.76332500e-01]
 [-1.81477067e+00 -5.56006896e-02 -1.74463144e-02  1.41316600e+02
  -1.24420500e+01  2.22568700e+02 -2.42465200e-01  4.97039600e-02
  -9.68886100e-01 -1.74184700e-02  9.98302700e-01  5.55720500e-02
   9.70003700e-01  3.03508100e-02 -2.41187900e-01]
 [-1.78281140e+00 -5.02660837e-02 -1.54050766e-02  1.40719800e+02
  -1.24093300e+01  2.22477600e+02 -2.11162000e-01  4.58724800e-02
  -9.76374100e-01 -1.53850100e-02  9.98618400e-01  5.02449200e-02
   9.77330000e-01  2.56313400e-02 -2.10164500e-01]]"
